"filename", "language", "Batch", "Python", "Properties", "PowerShell", "Markdown", "XML", "comment", "blank", "total"
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\jpcntx.py", "Python", 0, 169, 0, 0, 0, 0, 44, 21, 234
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\langbulgarianmodel.py", "Python", 0, 182, 0, 0, 0, 0, 39, 8, 229
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\langcyrillicmodel.py", "Python", 0, 286, 0, 0, 0, 0, 34, 14, 334
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\langgreekmodel.py", "Python", 0, 182, 0, 0, 0, 0, 37, 7, 226
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\langhebrewmodel.py", "Python", 0, 156, 0, 0, 0, 0, 40, 5, 201
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\langhungarianmodel.py", "Python", 0, 182, 0, 0, 0, 0, 37, 7, 226
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\langthaimodel.py", "Python", 0, 156, 0, 0, 0, 0, 38, 6, 200
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\langturkishmodel.py", "Python", 0, 156, 0, 0, 0, 0, 33, 5, 194
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\latin1prober.py", "Python", 0, 97, 0, 0, 0, 0, 34, 15, 146
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\mbcharsetprober.py", "Python", 0, 48, 0, 0, 0, 0, 31, 13, 92
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\mbcsgroupprober.py", "Python", 0, 23, 0, 0, 0, 0, 28, 4, 55
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\mbcssm.py", "Python", 0, 476, 0, 0, 0, 0, 44, 53, 573
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\sbcharsetprober.py", "Python", 0, 83, 0, 0, 0, 0, 38, 12, 133
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\sbcsgroupprober.py", "Python", 0, 37, 0, 0, 0, 0, 32, 5, 74
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\sjisprober.py", "Python", 0, 55, 0, 0, 0, 0, 26, 12, 93
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\universaldetector.py", "Python", 0, 161, 0, 0, 0, 0, 104, 22, 287
